transaction_id,account_id,transaction_date,transaction_type,amount
TRX-0048479,ACC-000003,2023-03-27 02:00:00,Transfer In,53.78
TRX-0043808,ACC-000003,2023-04-05 21:00:00,Card Payment,-88.45
TRX-0044241,ACC-000003,2023-04-06 04:00:00,ATM Withdrawal,-39.02
TRX-0000203,ACC-000003,2023-04-29 12:00:00,Transfer Out,-138.22
TRX-0041486,ACC-000003,2023-04-30 13:00:00,Transfer Out,-166.12
TRX-0002353,ACC-000003,2023-05-07 16:00:00,Transfer Out,-231.49
TRX-0043224,ACC-000003,2023-05-10 19:00:00,Transfer In,13.25
TRX-0008234,ACC-000003,2023-05-23 09:00:00,Transfer In,175.74
TRX-0029039,ACC-000003,2023-05-27 15:00:00,Card Payment,-25.9
TRX-0000826,ACC-000003,2023-06-14 06:00:00,Card Payment,-306.31
TRX-0025606,ACC-000003,2023-06-25 21:00:00,Card Payment,-436.76
TRX-0034480,ACC-000003,2023-06-27 00:00:00,Card Payment,-24.45
TRX-0029431,ACC-000003,2023-06-28 00:00:00,Card Payment,-116.6
TRX-0040135,ACC-000003,2023-07-01 19:00:00,Fee,-103.79
TRX-0013346,ACC-000003,2023-07-28 17:00:00,Card Payment,-293.9
TRX-0018270,ACC-000003,2023-07-28 19:00:00,Card Payment,-42.57
TRX-0007254,ACC-000003,2023-08-19 06:00:00,Salary Deposit,272.7
TRX-0038699,ACC-000003,2023-08-20 19:00:00,Fee,-130.25
TRX-0013537,ACC-000003,2023-08-23 09:00:00,Transfer Out,-322.6
TRX-0025179,ACC-000003,2023-09-09 23:00:00,Salary Deposit,4.94
TRX-0008189,ACC-000003,2023-09-10 07:00:00,Transfer Out,-172.77
TRX-0015637,ACC-000003,2023-10-03 06:00:00,Card Payment,-248.11
TRX-0007604,ACC-000003,2023-10-22 09:00:00,Card Payment,-386.14
TRX-0033842,ACC-000003,2023-10-30 12:00:00,Salary Deposit,161.79
TRX-0032361,ACC-000003,2023-11-10 10:00:00,Card Payment,-243.06
TRX-0044623,ACC-000003,2023-11-12 04:00:00,Card Payment,-427.23
TRX-0004986,ACC-000003,2023-11-14 16:00:00,Card Payment,-301.33
TRX-0033333,ACC-000003,2023-11-28 14:00:00,ATM Withdrawal,-12.99
TRX-0031761,ACC-000004,2023-01-01 04:00:00,Card Payment,-90.62
TRX-0048440,ACC-000004,2023-01-03 12:00:00,Transfer Out,-21.15
TRX-0035665,ACC-000004,2023-01-12 12:00:00,Transfer In,496.17
TRX-0034483,ACC-000004,2023-01-14 20:00:00,Transfer Out,-144.63
TRX-0045330,ACC-000004,2023-01-19 17:00:00,Card Payment,-11.59
TRX-0017592,ACC-000004,2023-01-25 12:00:00,Transfer In,23.56
TRX-0026382,ACC-000004,2023-01-30 04:00:00,Card Payment,-54.72
TRX-0029430,ACC-000004,2023-02-02 06:00:00,Salary Deposit,449.95
TRX-0022763,ACC-000004,2023-02-06 15:00:00,ATM Withdrawal,-132.25
TRX-0033074,ACC-000004,2023-02-06 16:00:00,Card Payment,-118.92
TRX-0025518,ACC-000004,2023-02-08 21:00:00,Card Payment,-263.97
TRX-0031487,ACC-000004,2023-02-14 10:00:00,Card Payment,-446.82
TRX-0018177,ACC-000004,2023-02-14 20:00:00,Card Payment,-175.2
TRX-0045355,ACC-000004,2023-02-20 19:00:00,ATM Withdrawal,-141.21
TRX-0007951,ACC-000004,2023-03-20 04:00:00,Salary Deposit,311.99
TRX-0037522,ACC-000004,2023-03-25 15:00:00,Transfer In,195.94
TRX-0015641,ACC-000004,2023-04-10 19:00:00,Transfer Out,-39.9
TRX-0020594,ACC-000004,2023-04-14 03:00:00,Card Payment,-12.23
TRX-0010789,ACC-000004,2023-04-15 17:00:00,ATM Withdrawal,-220.53
TRX-0011391,ACC-000004,2023-04-21 02:00:00,Transfer In,110.0
TRX-0043748,ACC-000004,2023-04-23 19:00:00,Salary Deposit,256.74
TRX-0035414,ACC-000004,2023-05-04 19:00:00,Card Payment,-8.31
TRX-0020688,ACC-000004,2023-05-08 03:00:00,Card Payment,-65.51
TRX-0015556,ACC-000004,2023-05-19 20:00:00,Transfer Out,-451.67
TRX-0001694,ACC-000004,2023-06-04 14:00:00,Transfer In,124.9
TRX-0016092,ACC-000004,2023-06-15 03:00:00,Transfer In,89.39
TRX-0012843,ACC-000004,2023-06-16 20:00:00,Card Payment,-58.82
TRX-0033396,ACC-000004,2023-06-19 21:00:00,Salary Deposit,197.79
TRX-0024962,ACC-000004,2023-06-25 19:00:00,ATM Withdrawal,-120.46
TRX-0015277,ACC-000004,2023-07-24 00:00:00,Transfer Out,-205.13
TRX-0047253,ACC-000004,2023-09-17 05:00:00,Transfer Out,-142.88
TRX-0005736,ACC-000004,2023-09-24 02:00:00,Transfer In,148.13
TRX-0044773,ACC-000004,2023-10-19 12:00:00,Transfer Out,-151.7
TRX-0045063,ACC-000004,2023-10-21 22:00:00,Transfer In,88.5
TRX-0021594,ACC-000004,2023-11-13 11:00:00,Card Payment,-14.54
TRX-0003016,ACC-000004,2023-11-21 04:00:00,Card Payment,-18.71
TRX-0033841,ACC-000004,2023-12-04 08:00:00,Transfer In,127.53
TRX-0039660,ACC-000004,2023-12-22 20:00:00,Salary Deposit,12.89
TRX-0024082,ACC-000004,2023-12-28 14:00:00,Card Payment,-207.15
TRX-0038083,ACC-000004,2023-12-30 07:00:00,Card Payment,-431.75
TRX-0038251,ACC-000005,2023-01-01 13:00:00,Transfer In,320.79
TRX-0047191,ACC-000005,2023-01-03 16:00:00,Salary Deposit,126.56
TRX-0029337,ACC-000005,2023-01-12 23:00:00,Salary Deposit,158.52
TRX-0031645,ACC-000005,2023-01-31 20:00:00,Card Payment,-27.27
TRX-0048431,ACC-000005,2023-02-18 14:00:00,Transfer In,120.36
TRX-0022539,ACC-000005,2023-02-19 18:00:00,Transfer Out,-293.41
TRX-0028570,ACC-000005,2023-03-10 08:00:00,ATM Withdrawal,-254.64
TRX-0014554,ACC-000005,2023-03-10 23:00:00,Transfer Out,-924.68
TRX-0002917,ACC-000005,2023-03-11 15:00:00,Transfer In,97.5
TRX-0001378,ACC-000005,2023-03-17 07:00:00,Transfer Out,-108.01
TRX-0041084,ACC-000005,2023-04-08 22:00:00,Fee,-262.01
TRX-0047505,ACC-000005,2023-05-01 15:00:00,Transfer In,81.1
TRX-0012975,ACC-000005,2023-05-07 15:00:00,Card Payment,-86.59
TRX-0006735,ACC-000005,2023-05-11 14:00:00,Card Payment,-78.66
TRX-0040496,ACC-000005,2023-05-18 00:00:00,Transfer Out,-4.09
TRX-0021917,ACC-000005,2023-05-25 02:00:00,Card Payment,-47.89
TRX-0048090,ACC-000005,2023-05-27 16:00:00,Card Payment,-30.68
TRX-0016182,ACC-000005,2023-06-15 19:00:00,Fee,-227.14
TRX-0017495,ACC-000005,2023-06-27 19:00:00,Fee,-418.79
TRX-0015630,ACC-000005,2023-07-08 21:00:00,Fee,-36.37
TRX-0039024,ACC-000005,2023-07-29 01:00:00,Card Payment,-0.66
TRX-0044660,ACC-000005,2023-08-01 03:00:00,ATM Withdrawal,-166.74
TRX-0015654,ACC-000005,2023-08-15 02:00:00,Card Payment,-58.7
TRX-0029020,ACC-000005,2023-08-22 03:00:00,Transfer Out,-176.69
TRX-0035303,ACC-000005,2023-09-03 03:00:00,Card Payment,-11.25
TRX-0043046,ACC-000005,2023-09-04 16:00:00,Card Payment,-99.21
TRX-0041027,ACC-000005,2023-09-13 02:00:00,Transfer Out,-298.09
TRX-0048713,ACC-000005,2023-09-23 09:00:00,Transfer In,332.43
TRX-0042136,ACC-000005,2023-09-27 09:00:00,Card Payment,-239.34
TRX-0032333,ACC-000005,2023-10-04 09:00:00,Transfer In,31.61
TRX-0008976,ACC-000005,2023-10-11 00:00:00,Card Payment,-85.29
TRX-0009703,ACC-000005,2023-10-20 07:00:00,Card Payment,-315.57
TRX-0042558,ACC-000005,2023-10-28 15:00:00,Card Payment,-196.38
TRX-0048776,ACC-000005,2023-10-31 21:00:00,Transfer Out,-88.65
TRX-0048885,ACC-000005,2023-11-02 17:00:00,Transfer Out,-54.35
TRX-0023381,ACC-000005,2023-11-15 15:00:00,Transfer Out,-134.98
TRX-0022173,ACC-000005,2023-12-05 02:00:00,Transfer Out,-42.62
TRX-0024886,ACC-000005,2023-12-05 09:00:00,ATM Withdrawal,-246.95
TRX-0000187,ACC-000005,2023-12-24 21:00:00,Card Payment,-13.66
TRX-0030280,ACC-000006,2023-01-03 14:00:00,Salary Deposit,264.14
TRX-0030137,ACC-000006,2023-01-26 16:00:00,Transfer Out,-18.48
TRX-0044039,ACC-000006,2023-02-03 13:00:00,Transfer In,43.71
TRX-0032062,ACC-000006,2023-02-19 04:00:00,Transfer In,17.22
TRX-0040120,ACC-000006,2023-02-25 15:00:00,Card Payment,-223.03
TRX-0001182,ACC-000006,2023-02-27 02:00:00,ATM Withdrawal,-100.81
TRX-0008955,ACC-000006,2023-03-02 15:00:00,Transfer Out,-132.21
TRX-0031484,ACC-000006,2023-03-06 04:00:00,Transfer In,32.46
TRX-0005338,ACC-000006,2023-03-07 16:00:00,Fee,-595.29
TRX-0033648,ACC-000006,2023-03-30 02:00:00,Card Payment,-7.67
TRX-0027043,ACC-000006,2023-04-21 02:00:00,Card Payment,-148.46
TRX-0007971,ACC-000006,2023-05-24 17:00:00,Card Payment,-75.55
TRX-0003551,ACC-000006,2023-05-25 08:00:00,Card Payment,-38.08
TRX-0009791,ACC-000006,2023-05-29 16:00:00,Transfer In,82.4
TRX-0028168,ACC-000006,2023-06-02 16:00:00,Card Payment,-205.32
TRX-0037055,ACC-000006,2023-06-03 13:00:00,Salary Deposit,12.23
TRX-0049745,ACC-000006,2023-06-09 08:00:00,Card Payment,-177.79
TRX-0034191,ACC-000006,2023-06-09 11:00:00,Transfer Out,-172.77
TRX-0044005,ACC-000006,2023-06-14 22:00:00,Card Payment,-140.53
TRX-0033916,ACC-000006,2023-06-15 12:00:00,ATM Withdrawal,-1.15
TRX-0049718,ACC-000006,2023-06-21 03:00:00,Fee,-8.2
TRX-0031504,ACC-000006,2023-06-26 10:00:00,Card Payment,-16.35
TRX-0001434,ACC-000006,2023-07-08 09:00:00,Transfer In,662.6
TRX-0032240,ACC-000006,2023-07-14 02:00:00,ATM Withdrawal,-47.77
TRX-0045873,ACC-000006,2023-07-21 19:00:00,Transfer In,78.15
TRX-0035408,ACC-000006,2023-07-25 05:00:00,Transfer Out,-49.16
TRX-0025625,ACC-000006,2023-07-28 21:00:00,Fee,-18.33
TRX-0001512,ACC-000006,2023-07-29 04:00:00,Card Payment,-13.87
TRX-0032189,ACC-000006,2023-08-01 04:00:00,Transfer In,38.22
TRX-0027632,ACC-000006,2023-08-15 19:00:00,Card Payment,-8.4
TRX-0040835,ACC-000006,2023-08-24 07:00:00,Transfer In,10.86
TRX-0014633,ACC-000006,2023-09-02 09:00:00,Card Payment,-225.18
TRX-0035411,ACC-000006,2023-09-12 15:00:00,Card Payment,-29.3
TRX-0042874,ACC-000006,2023-09-20 20:00:00,ATM Withdrawal,-122.97
TRX-0034138,ACC-000006,2023-09-22 08:00:00,Transfer Out,-64.65
TRX-0025480,ACC-000006,2023-09-29 01:00:00,Card Payment,-85.78
TRX-0018045,ACC-000006,2023-10-01 11:00:00,Transfer In,102.46
TRX-0016912,ACC-000006,2023-10-03 08:00:00,Salary Deposit,537.01
TRX-0044405,ACC-000006,2023-11-03 11:00:00,Card Payment,-73.96
TRX-0047952,ACC-000006,2023-11-07 07:00:00,Transfer In,42.73
TRX-0049938,ACC-000006,2023-11-17 21:00:00,ATM Withdrawal,-85.31
TRX-0019762,ACC-000006,2023-11-19 09:00:00,Transfer In,148.34
TRX-0016686,ACC-000006,2023-11-25 03:00:00,Transfer Out,-190.41
TRX-0020974,ACC-000006,2023-11-27 16:00:00,Fee,-232.38
TRX-0039988,ACC-000006,2023-12-10 20:00:00,ATM Withdrawal,-219.79
TRX-0027987,ACC-000006,2023-12-19 22:00:00,Card Payment,-89.32
TRX-0043904,ACC-000006,2023-12-24 20:00:00,Card Payment,-271.7
TRX-0025069,ACC-000007,2023-01-26 04:00:00,Salary Deposit,543.4
TRX-0013834,ACC-000007,2023-02-08 21:00:00,ATM Withdrawal,-811.15
TRX-0013406,ACC-000007,2023-02-26 03:00:00,Salary Deposit,444.42
TRX-0039488,ACC-000007,2023-03-06 02:00:00,Transfer In,346.85
TRX-0017497,ACC-000007,2023-03-10 00:00:00,Card Payment,-10.25
TRX-0010787,ACC-000007,2023-03-29 05:00:00,Card Payment,-8.84
TRX-0026928,ACC-000007,2023-04-04 11:00:00,Transfer In,67.72
TRX-0011041,ACC-000007,2023-04-04 12:00:00,Salary Deposit,7.96
TRX-0026470,ACC-000007,2023-04-13 07:00:00,Transfer Out,-167.58
TRX-0023476,ACC-000007,2023-04-16 10:00:00,ATM Withdrawal,-122.52
TRX-0012156,ACC-000007,2023-05-08 19:00:00,Transfer In,4.98
TRX-0005844,ACC-000007,2023-05-30 16:00:00,Card Payment,-264.47
TRX-0021538,ACC-000007,2023-07-06 00:00:00,Card Payment,-447.9
TRX-0001892,ACC-000007,2023-07-09 18:00:00,Card Payment,-85.39
TRX-0024845,ACC-000007,2023-07-23 21:00:00,Card Payment,-148.03
TRX-0033678,ACC-000007,2023-07-26 16:00:00,Transfer Out,-655.64
TRX-0007204,ACC-000007,2023-07-27 18:00:00,Transfer In,106.06
TRX-0015368,ACC-000007,2023-07-29 20:00:00,Transfer Out,-25.51
TRX-0017976,ACC-000007,2023-07-31 13:00:00,Transfer In,85.32
TRX-0042040,ACC-000007,2023-08-12 07:00:00,Transfer Out,-262.96
TRX-0030029,ACC-000007,2023-08-27 04:00:00,Fee,-111.64
TRX-0037968,ACC-000007,2023-09-01 21:00:00,Salary Deposit,194.16
TRX-0016855,ACC-000007,2023-09-03 21:00:00,Transfer Out,-211.12
TRX-0003599,ACC-000007,2023-09-07 13:00:00,ATM Withdrawal,-70.85
TRX-0044160,ACC-000007,2023-09-08 19:00:00,Card Payment,-11.5
TRX-0024124,ACC-000007,2023-09-14 16:00:00,Transfer Out,-194.97
TRX-0020538,ACC-000007,2023-09-18 16:00:00,ATM Withdrawal,-262.24
TRX-0029375,ACC-000007,2023-10-10 09:00:00,Transfer In,77.27
TRX-0042100,ACC-000007,2023-10-10 09:00:00,Card Payment,-240.95
TRX-0005523,ACC-000007,2023-10-15 19:00:00,ATM Withdrawal,-7.27
TRX-0047978,ACC-000007,2023-10-27 08:00:00,ATM Withdrawal,-2.98
TRX-0047655,ACC-000007,2023-10-29 12:00:00,Transfer Out,-30.57
TRX-0033415,ACC-000007,2023-11-25 15:00:00,ATM Withdrawal,-308.5
TRX-0031877,ACC-000007,2023-12-08 06:00:00,Card Payment,-161.57
TRX-0027935,ACC-000007,2023-12-09 17:00:00,Card Payment,-140.65
TRX-0046823,ACC-000007,2023-12-16 19:00:00,Card Payment,-24.0
TRX-0037438,ACC-000007,2023-12-23 14:00:00,Transfer Out,-98.21
TRX-0039118,ACC-000007,2023-12-31 15:00:00,ATM Withdrawal,-47.19
TRX-0039061,ACC-000008,2023-01-09 06:00:00,Transfer In,20.78
TRX-0024630,ACC-000008,2023-01-16 14:00:00,Salary Deposit,381.35
TRX-0009748,ACC-000008,2023-01-26 00:00:00,Transfer Out,-9.22
TRX-0038045,ACC-000008,2023-01-31 22:00:00,Card Payment,-17.72
TRX-0027122,ACC-000008,2023-02-02 01:00:00,Transfer In,90.92
TRX-0024279,ACC-000008,2023-02-02 15:00:00,ATM Withdrawal,-119.53
TRX-0047592,ACC-000008,2023-02-13 15:00:00,Transfer In,13.59
TRX-0035854,ACC-000008,2023-02-18 14:00:00,Fee,-169.04
TRX-0008101,ACC-000008,2023-02-21 09:00:00,Transfer Out,-58.83
TRX-0041297,ACC-000008,2023-02-27 23:00:00,ATM Withdrawal,-193.25
TRX-0036463,ACC-000008,2023-02-28 06:00:00,Card Payment,-25.43
TRX-0023640,ACC-000008,2023-02-28 19:00:00,ATM Withdrawal,-120.14
TRX-0021453,ACC-000008,2023-03-13 21:00:00,Transfer Out,-124.2
TRX-0008589,ACC-000008,2023-03-19 16:00:00,Transfer Out,-276.57
TRX-0008572,ACC-000008,2023-03-20 17:00:00,Card Payment,-36.55
TRX-0037296,ACC-000008,2023-04-08 02:00:00,Fee,-668.42
TRX-0000240,ACC-000008,2023-04-14 04:00:00,Card Payment,-313.38
TRX-0032705,ACC-000008,2023-05-01 14:00:00,Fee,-105.47
TRX-0032568,ACC-000008,2023-05-01 21:00:00,Transfer Out,-133.07
TRX-0026464,ACC-000008,2023-05-03 07:00:00,Card Payment,-24.43
TRX-0001414,ACC-000008,2023-05-09 15:00:00,Transfer In,140.41
TRX-0001829,ACC-000008,2023-06-21 12:00:00,Transfer Out,-598.89
TRX-0013673,ACC-000008,2023-06-22 07:00:00,ATM Withdrawal,-68.03
TRX-0018600,ACC-000008,2023-07-18 18:00:00,Transfer In,122.39
TRX-0037712,ACC-000008,2023-07-21 11:00:00,Transfer Out,-89.9
TRX-0045904,ACC-000008,2023-07-21 19:00:00,Salary Deposit,122.88
TRX-0016870,ACC-000008,2023-07-23 07:00:00,Transfer In,4.39
TRX-0043588,ACC-000008,2023-08-28 06:00:00,Fee,-200.0
TRX-0012363,ACC-000008,2023-08-28 18:00:00,Transfer Out,-169.33
TRX-0014521,ACC-000008,2023-08-31 00:00:00,Salary Deposit,76.37
TRX-0006741,ACC-000008,2023-09-24 02:00:00,Card Payment,-511.74
TRX-0022373,ACC-000008,2023-10-05 20:00:00,Card Payment,-78.78
TRX-0019608,ACC-000008,2023-10-25 13:00:00,Card Payment,-100.99
TRX-0018353,ACC-000008,2023-11-01 16:00:00,Fee,-107.04
TRX-0049648,ACC-000008,2023-11-08 01:00:00,Transfer Out,-73.36
TRX-0009638,ACC-000008,2023-11-20 05:00:00,Card Payment,-79.23
TRX-0040683,ACC-000008,2023-11-23 01:00:00,Transfer In,383.07
TRX-0038983,ACC-000008,2023-11-25 06:00:00,Card Payment,-34.71
TRX-0006220,ACC-000008,2023-11-26 09:00:00,Transfer In,61.41
TRX-0032602,ACC-000009,2023-01-10 10:00:00,Card Payment,-76.47
TRX-0038269,ACC-000009,2023-01-19 22:00:00,Card Payment,-585.56
TRX-0005763,ACC-000009,2023-01-25 17:00:00,Card Payment,-35.43
TRX-0024595,ACC-000009,2023-02-23 07:00:00,Card Payment,-451.6
TRX-0019248,ACC-000009,2023-03-05 23:00:00,Card Payment,-408.91
TRX-0046731,ACC-000009,2023-03-09 12:00:00,Card Payment,-172.4
TRX-0020576,ACC-000009,2023-03-13 03:00:00,Card Payment,-21.25
TRX-0043548,ACC-000009,2023-03-17 20:00:00,Card Payment,-157.86
TRX-0036057,ACC-000009,2023-04-03 07:00:00,Card Payment,-332.45
TRX-0008257,ACC-000009,2023-04-18 21:00:00,Card Payment,-13.98
TRX-0015864,ACC-000009,2023-04-27 07:00:00,Salary Deposit,88.6
TRX-0008884,ACC-000009,2023-04-28 05:00:00,Transfer In,29.25
TRX-0045767,ACC-000009,2023-05-11 20:00:00,Card Payment,-245.12
TRX-0049478,ACC-000009,2023-05-15 15:00:00,Fee,-164.07
TRX-0011491,ACC-000009,2023-05-19 02:00:00,ATM Withdrawal,-201.1
TRX-0045975,ACC-000009,2023-06-01 14:00:00,Salary Deposit,10.75
TRX-0048098,ACC-000009,2023-06-02 13:00:00,Card Payment,-261.67
TRX-0003665,ACC-000009,2023-06-02 22:00:00,Transfer In,267.26
TRX-0042284,ACC-000009,2023-06-04 02:00:00,ATM Withdrawal,-107.8
TRX-0015023,ACC-000009,2023-06-07 19:00:00,Card Payment,-200.41
TRX-0014687,ACC-000009,2023-06-08 22:00:00,ATM Withdrawal,-53.01
TRX-0035774,ACC-000009,2023-06-13 21:00:00,Card Payment,-36.91
TRX-0029352,ACC-000009,2023-06-19 14:00:00,Salary Deposit,24.95
TRX-0009118,ACC-000009,2023-07-06 12:00:00,Card Payment,-107.46
TRX-0045577,ACC-000009,2023-07-18 14:00:00,Salary Deposit,60.35
TRX-0021933,ACC-000009,2023-07-31 15:00:00,Transfer Out,-61.39
TRX-0044539,ACC-000009,2023-08-11 04:00:00,Transfer Out,-141.5
TRX-0009279,ACC-000009,2023-08-16 03:00:00,ATM Withdrawal,-20.02
TRX-0005122,ACC-000009,2023-09-02 14:00:00,Card Payment,-16.15
TRX-0033324,ACC-000009,2023-09-02 22:00:00,Transfer Out,-57.22
TRX-0015102,ACC-000009,2023-09-04 21:00:00,Salary Deposit,436.78
TRX-0037450,ACC-000009,2023-09-06 08:00:00,Transfer In,231.84
TRX-0012904,ACC-000009,2023-09-07 08:00:00,Salary Deposit,172.13
TRX-0010445,ACC-000009,2023-10-01 00:00:00,Card Payment,-48.88
TRX-0018682,ACC-000009,2023-10-01 09:00:00,Transfer In,165.9
TRX-0045066,ACC-000009,2023-10-06 05:00:00,Card Payment,-87.09
TRX-0045039,ACC-000009,2023-10-21 15:00:00,Transfer In,49.24
TRX-0039171,ACC-000009,2023-10-30 10:00:00,Transfer In,478.45
TRX-0002046,ACC-000009,2023-11-17 09:00:00,Transfer In,45.93
TRX-0022729,ACC-000009,2023-11-25 12:00:00,Fee,-142.62
TRX-0031398,ACC-000009,2023-12-10 09:00:00,Fee,-33.7
TRX-0023679,ACC-000009,2023-12-15 11:00:00,Salary Deposit,184.01
TRX-0044178,ACC-000010,2023-01-27 23:00:00,ATM Withdrawal,-75.33
TRX-0032607,ACC-000010,2023-01-29 21:00:00,Card Payment,-113.61
TRX-0000384,ACC-000010,2023-01-30 03:00:00,ATM Withdrawal,-253.2
TRX-0030592,ACC-000010,2023-01-31 10:00:00,Salary Deposit,174.03
TRX-0029218,ACC-000010,2023-02-11 20:00:00,ATM Withdrawal,-426.87
TRX-0031756,ACC-000010,2023-02-14 15:00:00,Salary Deposit,122.9
