account_id,customer_id,account_type,status,open_date
ACC-000085,CUST-00072,Checking,Active,2020-08-10
ACC-000086,CUST-00073,Savings,Active,2020-09-13
ACC-000087,CUST-00074,Savings,Active,2021-05-18
ACC-000088,CUST-00075,Checking,Active,2021-06-29
ACC-000089,CUST-00075,Checking,Active,2020-11-11
ACC-000090,CUST-00076,Checking,Active,2022-06-22
ACC-000091,CUST-00077,Checking,Active,2020-08-08
ACC-000092,CUST-00077,Savings,Active,2020-11-30
ACC-000093,CUST-00078,Savings,Active,2021-02-21
ACC-000094,CUST-00079,Checking,Active,2020-04-19
ACC-000095,CUST-00080,Checking,Active,2020-07-25
ACC-000096,CUST-00081,Savings,Active,2020-06-13
ACC-000097,CUST-00082,Savings,Active,2021-03-02
ACC-000098,CUST-00083,Checking,Active,2022-04-05
ACC-000099,CUST-00083,Checking,Active,2021-03-07
ACC-000100,CUST-00084,Checking,Active,2021-07-04
ACC-000101,CUST-00085,Checking,Active,2020-11-15
ACC-000102,CUST-00086,Checking,Active,2022-05-06
ACC-000103,CUST-00087,Savings,Frozen,2020-11-28
ACC-000104,CUST-00088,Savings,Active,2021-01-11
ACC-000105,CUST-00089,Checking,Active,2020-06-20
ACC-000106,CUST-00089,Checking,Active,2022-11-05
ACC-000107,CUST-00090,Checking,Active,2021-07-07
ACC-000108,CUST-00091,Checking,Active,2022-07-06
ACC-000109,CUST-00092,Savings,Active,2022-04-30
ACC-000110,CUST-00093,Checking,Active,2021-03-19
ACC-000111,CUST-00094,Checking,Active,2020-09-30
ACC-000112,CUST-00095,Checking,Active,2022-10-18
ACC-000113,CUST-00096,Checking,Active,2021-03-18
ACC-000114,CUST-00097,Checking,Active,2022-02-26
ACC-000115,CUST-00097,Checking,Active,2021-08-25
ACC-000116,CUST-00098,Checking,Active,2022-03-05
ACC-000117,CUST-00099,Checking,Closed,2021-02-26
ACC-000118,CUST-00099,Checking,Active,2020-07-30
ACC-000119,CUST-00100,Savings,Active,2021-04-21
ACC-000120,CUST-00101,Savings,Closed,2020-10-29
ACC-000121,CUST-00102,Checking,Active,2021-03-21
ACC-000122,CUST-00103,Checking,Active,2020-11-07
ACC-000123,CUST-00104,Savings,Active,2020-06-20
ACC-000124,CUST-00105,Checking,Active,2022-11-28
ACC-000125,CUST-00106,Savings,Active,2022-03-05
ACC-000126,CUST-00107,Checking,Active,2020-10-18
ACC-000127,CUST-00108,Savings,Active,2020-06-10
ACC-000128,CUST-00109,Checking,Closed,2020-05-10
ACC-000129,CUST-00110,Savings,Active,2022-01-20
ACC-000130,CUST-00111,Checking,Active,2020-11-20
ACC-000131,CUST-00111,Savings,Active,2020-12-21
ACC-000132,CUST-00112,Checking,Active,2021-06-10
ACC-000133,CUST-00113,Savings,Active,2021-07-01
ACC-000134,CUST-00114,Checking,Active,2022-04-08
ACC-000135,CUST-00115,Savings,Closed,2022-09-13
ACC-000136,CUST-00116,Checking,Active,2020-05-11
ACC-000137,CUST-00117,Savings,Active,2022-10-29
ACC-000138,CUST-00118,Checking,Active,2021-03-08
ACC-000139,CUST-00119,Checking,Closed,2022-02-24
ACC-000140,CUST-00120,Checking,Active,2021-06-30
ACC-000141,CUST-00120,Checking,Active,2021-02-14
ACC-000142,CUST-00121,Checking,Active,2021-05-10
ACC-000143,CUST-00121,Savings,Active,2021-11-03
ACC-000144,CUST-00122,Savings,Active,2020-05-15
ACC-000145,CUST-00123,Checking,Active,2021-10-04
ACC-000146,CUST-00123,Checking,Active,2021-12-26
ACC-000147,CUST-00124,Checking,Active,2021-03-12
ACC-000148,CUST-00125,Checking,Active,2022-08-29
ACC-000149,CUST-00126,Savings,Active,2022-05-29
ACC-000150,CUST-00126,Checking,Active,2022-12-11
ACC-000151,CUST-00127,Checking,Frozen,2020-10-18
ACC-000152,CUST-00128,Checking,Active,2022-06-03
ACC-000153,CUST-00129,Savings,Active,2020-10-31
ACC-000154,CUST-00130,Savings,Active,2020-08-05
ACC-000155,CUST-00131,Savings,Active,2020-10-06
ACC-000156,CUST-00131,Checking,Active,2022-12-06
ACC-000157,CUST-00132,Checking,Active,2021-05-09
ACC-000158,CUST-00133,Checking,Active,2020-12-03
ACC-000159,CUST-00134,Checking,Active,2021-09-29
ACC-000160,CUST-00135,Checking,Active,2021-08-04
ACC-000161,CUST-00136,Checking,Active,2020-06-15
ACC-000162,CUST-00137,Checking,Active,2020-04-19
ACC-000163,CUST-00137,Checking,Frozen,2020-08-17
ACC-000164,CUST-00138,Checking,Active,2020-06-14
ACC-000165,CUST-00139,Savings,Active,2022-08-03
ACC-000166,CUST-00140,Checking,Active,2021-06-19
ACC-000167,CUST-00141,Checking,Active,2022-03-06
ACC-000168,CUST-00142,Checking,Active,2021-01-13
ACC-000169,CUST-00143,Checking,Active,2021-06-16
ACC-000170,CUST-00144,Checking,Active,2022-05-13
ACC-000171,CUST-00145,Savings,Active,2020-12-15
ACC-000172,CUST-00146,Checking,Active,2021-12-14
ACC-000173,CUST-00147,Checking,Active,2022-09-30
ACC-000174,CUST-00147,Savings,Active,2022-09-25
ACC-000175,CUST-00148,Checking,Active,2022-11-01
ACC-000176,CUST-00149,Checking,Active,2022-08-29
ACC-000177,CUST-00150,Savings,Closed,2021-10-25
ACC-000178,CUST-00151,Savings,Closed,2021-04-27
ACC-000179,CUST-00151,Checking,Active,2021-07-31
ACC-000180,CUST-00152,Checking,Active,2022-09-13
ACC-000181,CUST-00153,Checking,Active,2022-03-22
ACC-000182,CUST-00154,Savings,Active,2020-04-09
ACC-000183,CUST-00155,Checking,Active,2021-06-10
ACC-000184,CUST-00156,Savings,Active,2022-04-03
ACC-000185,CUST-00157,Checking,Active,2020-06-02
ACC-000186,CUST-00158,Checking,Active,2021-06-01
ACC-000187,CUST-00159,Checking,Active,2020-04-11
ACC-000188,CUST-00160,Savings,Active,2021-10-29
ACC-000189,CUST-00161,Checking,Active,2022-02-03
ACC-000190,CUST-00162,Checking,Active,2022-11-09
ACC-000191,CUST-00163,Savings,Active,2022-10-10
ACC-000192,CUST-00164,Checking,Active,2021-10-06
ACC-000193,CUST-00165,Checking,Active,2022-01-13
ACC-000194,CUST-00166,Checking,Active,2021-08-21
ACC-000195,CUST-00167,Checking,Active,2021-04-28
ACC-000196,CUST-00168,Checking,Closed,2020-11-07
ACC-000197,CUST-00169,Checking,Active,2022-12-25
ACC-000198,CUST-00170,Checking,Active,2021-07-05
ACC-000199,CUST-00171,Checking,Active,2020-09-28
ACC-000200,CUST-00172,Checking,Active,2021-10-12
ACC-000201,CUST-00173,Savings,Active,2021-05-22
ACC-000202,CUST-00174,Checking,Active,2022-03-11
ACC-000203,CUST-00175,Checking,Active,2020-10-03
ACC-000204,CUST-00176,Checking,Active,2021-12-27
ACC-000205,CUST-00176,Checking,Active,2022-04-27
ACC-000206,CUST-00177,Checking,Active,2020-07-24
ACC-000207,CUST-00178,Checking,Active,2022-07-13
ACC-000208,CUST-00179,Checking,Active,2022-06-17
ACC-000209,CUST-00180,Checking,Active,2020-09-15
ACC-000210,CUST-00180,Checking,Active,2022-09-18
ACC-000211,CUST-00181,Checking,Active,2020-11-14
ACC-000212,CUST-00182,Checking,Closed,2021-03-29
ACC-000213,CUST-00183,Savings,Active,2021-09-29
ACC-000214,CUST-00184,Savings,Active,2021-04-02
ACC-000215,CUST-00185,Savings,Active,2021-10-08
ACC-000216,CUST-00186,Checking,Active,2022-03-26
ACC-000217,CUST-00187,Checking,Active,2021-09-16
ACC-000218,CUST-00188,Checking,Active,2022-10-15
ACC-000219,CUST-00189,Savings,Active,2021-05-03
ACC-000220,CUST-00190,Checking,Active,2020-10-13
ACC-000221,CUST-00191,Checking,Closed,2021-05-26
ACC-000222,CUST-00192,Checking,Active,2022-07-31
ACC-000223,CUST-00193,Checking,Active,2020-08-27
ACC-000224,CUST-00193,Checking,Active,2021-08-03
ACC-000225,CUST-00194,Checking,Active,2021-10-09
ACC-000226,CUST-00195,Checking,Active,2020-06-06
ACC-000227,CUST-00196,Checking,Active,2021-04-29
ACC-000228,CUST-00197,Checking,Active,2022-01-29
ACC-000229,CUST-00198,Checking,Active,2020-12-21
ACC-000230,CUST-00199,Savings,Active,2022-08-01
ACC-000231,CUST-00199,Checking,Active,2022-08-10
ACC-000232,CUST-00200,Checking,Active,2021-02-22
ACC-000233,CUST-00200,Checking,Active,2020-05-16
ACC-000234,CUST-00201,Checking,Active,2022-01-30
ACC-000235,CUST-00202,Checking,Active,2020-12-06
ACC-000236,CUST-00202,Savings,Closed,2022-09-28
ACC-000237,CUST-00203,Checking,Active,2021-12-26
ACC-000238,CUST-00204,Savings,Active,2020-11-08
ACC-000239,CUST-00205,Checking,Active,2022-10-14
ACC-000240,CUST-00206,Savings,Active,2021-06-28
ACC-000241,CUST-00207,Savings,Active,2022-01-22
ACC-000242,CUST-00207,Savings,Active,2021-04-30
ACC-000243,CUST-00208,Checking,Active,2020-11-03
ACC-000244,CUST-00209,Savings,Active,2022-11-18
ACC-000245,CUST-00210,Checking,Active,2021-10-04
ACC-000246,CUST-00211,Savings,Active,2022-05-07
ACC-000247,CUST-00212,Checking,Active,2021-09-08
ACC-000248,CUST-00213,Checking,Active,2021-05-27
ACC-000249,CUST-00213,Savings,Active,2022-03-19
ACC-000250,CUST-00214,Checking,Active,2022-07-20
ACC-000251,CUST-00215,Savings,Active,2022-04-20
ACC-000252,CUST-00215,Checking,Active,2021-12-17
ACC-000253,CUST-00216,Checking,Active,2020-08-13
ACC-000254,CUST-00217,Checking,Active,2021-09-28
ACC-000255,CUST-00218,Checking,Active,2020-05-07
ACC-000256,CUST-00218,Savings,Active,2020-07-10
ACC-000257,CUST-00219,Checking,Active,2021-08-05
ACC-000258,CUST-00220,Checking,Active,2022-05-17
ACC-000259,CUST-00221,Savings,Active,2021-03-07
ACC-000260,CUST-00222,Checking,Active,2020-06-06
ACC-000261,CUST-00223,Checking,Active,2021-01-09
ACC-000262,CUST-00223,Checking,Active,2020-06-18
ACC-000263,CUST-00224,Checking,Active,2021-06-19
ACC-000264,CUST-00225,Checking,Active,2020-10-29
ACC-000265,CUST-00225,Checking,Active,2022-11-14
ACC-000266,CUST-00226,Checking,Active,2022-10-29
ACC-000267,CUST-00227,Savings,Active,2022-12-16
ACC-000268,CUST-00228,Checking,Active,2022-03-09
ACC-000269,CUST-00229,Checking,Active,2021-11-01
ACC-000270,CUST-00230,Checking,Active,2021-12-28
ACC-000271,CUST-00231,Checking,Active,2021-07-31
ACC-000272,CUST-00232,Checking,Active,2021-03-22
ACC-000273,CUST-00233,Checking,Active,2022-01-01
ACC-000274,CUST-00234,Checking,Active,2021-03-29
ACC-000275,CUST-00235,Checking,Active,2022-08-18
ACC-000276,CUST-00236,Checking,Active,2022-07-06
ACC-000277,CUST-00237,Checking,Frozen,2021-08-29
ACC-000278,CUST-00237,Checking,Active,2022-10-29
ACC-000279,CUST-00238,Savings,Active,2022-06-09
ACC-000280,CUST-00239,Checking,Active,2020-05-21
ACC-000281,CUST-00240,Checking,Active,2021-09-04
ACC-000282,CUST-00241,Savings,Active,2022-01-01
ACC-000283,CUST-00242,Checking,Active,2022-03-28
ACC-000284,CUST-00242,Checking,Active,2020-07-05
ACC-000285,CUST-00243,Checking,Closed,2022-01-19
ACC-000286,CUST-00244,Checking,Active,2020-05-30
ACC-000287,CUST-00244,Savings,Active,2022-10-09
ACC-000288,CUST-00245,Checking,Active,2020-09-11
ACC-000289,CUST-00246,Checking,Active,2022-01-31
ACC-000290,CUST-00247,Checking,Active,2021-10-22
ACC-000291,CUST-00248,Checking,Active,2020-12-18
ACC-000292,CUST-00249,Checking,Frozen,2022-03-26
ACC-000293,CUST-00249,Checking,Active,2022-11-04
ACC-000294,CUST-00250,Checking,Active,2020-10-03
ACC-000295,CUST-00251,Checking,Active,2020-08-15
ACC-000296,CUST-00252,Savings,Active,2022-10-25
ACC-000297,CUST-00253,Checking,Active,2020-05-04
ACC-000298,CUST-00254,Checking,Active,2020-05-05
ACC-000299,CUST-00255,Checking,Active,2022-08-14
ACC-000300,CUST-00256,Checking,Active,2022-04-21
ACC-000301,CUST-00257,Checking,Active,2021-07-20
ACC-000302,CUST-00257,Checking,Active,2022-04-08
ACC-000303,CUST-00258,Savings,Active,2021-04-15
ACC-000304,CUST-00259,Savings,Active,2022-08-29
ACC-000305,CUST-00260,Checking,Active,2021-01-01
ACC-000306,CUST-00261,Checking,Active,2020-08-19
ACC-000307,CUST-00262,Checking,Active,2021-06-17
ACC-000308,CUST-00262,Checking,Active,2020-08-13
ACC-000309,CUST-00263,Savings,Active,2022-07-07
ACC-000310,CUST-00264,Checking,Active,2022-06-10
ACC-000311,CUST-00265,Checking,Active,2021-12-28
ACC-000312,CUST-00266,Checking,Active,2021-06-16
ACC-000313,CUST-00267,Savings,Active,2021-11-20
ACC-000314,CUST-00268,Savings,Active,2020-11-05
ACC-000315,CUST-00268,Checking,Active,2022-08-26
ACC-000316,CUST-00269,Checking,Active,2021-02-04
ACC-000317,CUST-00269,Checking,Active,2020-09-05
ACC-000318,CUST-00270,Checking,Active,2020-04-17
ACC-000319,CUST-00271,Checking,Active,2020-09-02
ACC-000320,CUST-00272,Checking,Active,2022-02-05
ACC-000321,CUST-00273,Checking,Closed,2021-07-19
ACC-000322,CUST-00273,Savings,Active,2022-04-20
ACC-000323,CUST-00274,Savings,Active,2021-04-01
ACC-000324,CUST-00275,Checking,Active,2022-07-13
ACC-000325,CUST-00276,Checking,Active,2021-04-02
ACC-000326,CUST-00277,Checking,Active,2021-06-03
ACC-000327,CUST-00278,Savings,Active,2020-05-05
ACC-000328,CUST-00279,Checking,Active,2020-11-07
ACC-000329,CUST-00280,Checking,Active,2020-07-05
ACC-000330,CUST-00281,Checking,Closed,2021-08-25
ACC-000331,CUST-00282,Savings,Active,2021-09-24
ACC-000332,CUST-00283,Checking,Active,2021-08-24
ACC-000333,CUST-00284,Checking,Active,2020-08-02
ACC-000334,CUST-00285,Savings,Active,2020-04-08
ACC-000335,CUST-00286,Savings,Active,2022-09-15
ACC-000336,CUST-00287,Checking,Active,2022-04-23
ACC-000337,CUST-00288,Checking,Closed,2020-07-31
ACC-000338,CUST-00289,Checking,Active,2022-07-22
ACC-000339,CUST-00290,Savings,Active,2022-06-21
ACC-000340,CUST-00290,Savings,Active,2021-07-23
ACC-000341,CUST-00291,Savings,Active,2022-10-01
ACC-000342,CUST-00292,Checking,Closed,2022-05-26
ACC-000343,CUST-00292,Checking,Active,2022-03-19
ACC-000344,CUST-00293,Savings,Active,2021-09-07
ACC-000345,CUST-00294,Checking,Active,2022-08-17
ACC-000346,CUST-00295,Savings,Active,2021-12-23
ACC-000347,CUST-00295,Checking,Active,2021-06-05
ACC-000348,CUST-00296,Checking,Active,2021-08-03
ACC-000349,CUST-00297,Checking,Active,2021-04-03
ACC-000350,CUST-00298,Checking,Closed,2021-11-24
ACC-000351,CUST-00299,Savings,Active,2021-12-23
ACC-000352,CUST-00300,Checking,Active,2021-08-07
ACC-000353,CUST-00301,Checking,Active,2020-09-30
ACC-000354,CUST-00302,Checking,Active,2021-07-23
ACC-000355,CUST-00303,Savings,Active,2021-11-25
ACC-000356,CUST-00304,Savings,Active,2022-01-22
ACC-000357,CUST-00304,Checking,Active,2021-08-18
ACC-000358,CUST-00305,Checking,Active,2021-12-20
ACC-000359,CUST-00306,Checking,Active,2022-02-20
ACC-000360,CUST-00307,Savings,Active,2022-12-05
ACC-000361,CUST-00308,Checking,Active,2020-04-11
ACC-000362,CUST-00309,Checking,Active,2021-05-14
ACC-000363,CUST-00310,Checking,Active,2020-10-30
ACC-000364,CUST-00311,Checking,Active,2022-11-30
ACC-000365,CUST-00311,Checking,Active,2022-06-20
ACC-000366,CUST-00312,Checking,Active,2021-01-24
ACC-000367,CUST-00313,Checking,Active,2021-09-06
ACC-000368,CUST-00314,Savings,Active,2022-08-13
ACC-000369,CUST-00314,Checking,Active,2021-02-22
ACC-000370,CUST-00315,Checking,Closed,2021-09-18
ACC-000371,CUST-00316,Checking,Active,2020-11-02
ACC-000372,CUST-00316,Savings,Active,2020-10-01
ACC-000373,CUST-00317,Checking,Active,2022-04-24
ACC-000374,CUST-00318,Checking,Closed,2022-03-03
ACC-000375,CUST-00319,Savings,Active,2021-08-19
ACC-000376,CUST-00320,Checking,Closed,2020-10-09
ACC-000377,CUST-00321,Checking,Active,2021-06-24
ACC-000378,CUST-00322,Savings,Active,2020-04-29
ACC-000379,CUST-00323,Checking,Active,2020-04-28
ACC-000380,CUST-00324,Checking,Active,2022-04-14
ACC-000381,CUST-00325,Checking,Active,2022-03-30
ACC-000382,CUST-00326,Checking,Active,2021-04-11
ACC-000383,CUST-00326,Savings,Active,2022-11-11
ACC-000384,CUST-00327,Checking,Active,2022-11-09
ACC-000385,CUST-00328,Checking,Active,2021-02-03
ACC-000386,CUST-00329,Checking,Active,2020-05-25
ACC-000387,CUST-00330,Checking,Active,2021-09-01
ACC-000388,CUST-00331,Checking,Closed,2022-02-07
ACC-000389,CUST-00332,Checking,Active,2021-03-05
ACC-000390,CUST-00333,Checking,Active,2020-05-17
ACC-000391,CUST-00334,Savings,Active,2020-08-27
ACC-000392,CUST-00335,Savings,Frozen,2021-11-21
ACC-000393,CUST-00336,Checking,Active,2020-07-22
ACC-000394,CUST-00337,Savings,Active,2021-05-30
ACC-000395,CUST-00337,Checking,Closed,2022-01-23
ACC-000396,CUST-00338,Savings,Active,2021-08-14
ACC-000397,CUST-00339,Checking,Active,2022-03-28
ACC-000398,CUST-00339,Checking,Active,2022-07-19
ACC-000399,CUST-00340,Checking,Active,2022-12-18
ACC-000400,CUST-00341,Savings,Active,2020-11-17
ACC-000401,CUST-00342,Checking,Active,2021-11-12
ACC-000402,CUST-00343,Checking,Active,2021-02-15
ACC-000403,CUST-00343,Checking,Frozen,2021-08-31
ACC-000404,CUST-00344,Checking,Active,2022-05-05
ACC-000405,CUST-00345,Checking,Active,2021-05-15
ACC-000406,CUST-00346,Checking,Active,2021-01-22
ACC-000407,CUST-00347,Checking,Active,2022-07-22
ACC-000408,CUST-00348,Checking,Active,2021-01-11
ACC-000409,CUST-00349,Checking,Active,2020-05-13
ACC-000410,CUST-00350,Checking,Active,2022-08-18
ACC-000411,CUST-00351,Checking,Frozen,2021-12-15
ACC-000412,CUST-00352,Checking,Active,2021-06-30
ACC-000413,CUST-00353,Savings,Active,2021-02-04
ACC-000414,CUST-00353,Savings,Active,2022-10-10
ACC-000415,CUST-00354,Checking,Active,2020-06-06
ACC-000416,CUST-00355,Checking,Active,2021-08-02
ACC-000417,CUST-00356,Checking,Active,2020-08-10
ACC-000418,CUST-00357,Checking,Active,2021-05-14
ACC-000419,CUST-00358,Savings,Active,2022-11-06
ACC-000420,CUST-00359,Checking,Active,2022-11-03
ACC-000421,CUST-00360,Checking,Active,2022-12-10
ACC-000422,CUST-00361,Savings,Active,2021-05-19
ACC-000423,CUST-00362,Checking,Active,2021-06-26
ACC-000424,CUST-00363,Savings,Active,2020-05-20
ACC-000425,CUST-00363,Checking,Active,2022-07-01
ACC-000426,CUST-00364,Savings,Closed,2021-03-11
ACC-000427,CUST-00365,Checking,Active,2021-09-29
ACC-000428,CUST-00365,Savings,Closed,2021-12-13
ACC-000429,CUST-00366,Savings,Active,2022-08-18
ACC-000430,CUST-00367,Checking,Active,2021-06-30
ACC-000431,CUST-00368,Checking,Closed,2020-08-30
ACC-000432,CUST-00369,Checking,Active,2021-02-11
ACC-000433,CUST-00370,Checking,Active,2022-05-11
ACC-000434,CUST-00371,Checking,Active,2020-05-17
ACC-000435,CUST-00372,Savings,Active,2021-02-24
ACC-000436,CUST-00372,Checking,Active,2020-07-11
ACC-000437,CUST-00373,Checking,Active,2021-05-03
ACC-000438,CUST-00373,Checking,Active,2021-01-11
ACC-000439,CUST-00374,Checking,Active,2021-10-09
ACC-000440,CUST-00374,Checking,Active,2020-07-31
ACC-000441,CUST-00375,Checking,Frozen,2022-05-07
ACC-000442,CUST-00376,Savings,Active,2021-04-29
ACC-000443,CUST-00376,Savings,Active,2022-05-04
ACC-000444,CUST-00377,Checking,Active,2022-05-20
ACC-000445,CUST-00378,Checking,Active,2021-05-06
ACC-000446,CUST-00379,Savings,Active,2021-10-21
ACC-000447,CUST-00379,Checking,Active,2022-01-14
ACC-000448,CUST-00380,Checking,Active,2022-02-09
ACC-000449,CUST-00380,Checking,Active,2022-02-28
ACC-000450,CUST-00381,Savings,Active,2020-08-15
ACC-000451,CUST-00382,Savings,Active,2021-09-14
ACC-000452,CUST-00383,Checking,Closed,2021-06-10
ACC-000453,CUST-00383,Checking,Active,2022-04-15
ACC-000454,CUST-00384,Checking,Closed,2020-08-17
ACC-000455,CUST-00385,Checking,Active,2022-11-10
ACC-000456,CUST-00386,Checking,Active,2020-07-21
ACC-000457,CUST-00387,Savings,Active,2021-02-13
ACC-000458,CUST-00388,Checking,Active,2022-01-26
ACC-000459,CUST-00389,Savings,Active,2022-06-21
ACC-000460,CUST-00390,Checking,Frozen,2021-08-29
ACC-000461,CUST-00390,Savings,Active,2021-01-11
ACC-000462,CUST-00391,Savings,Active,2020-10-29
ACC-000463,CUST-00392,Checking,Active,2022-02-20
ACC-000464,CUST-00393,Checking,Active,2022-09-23
ACC-000465,CUST-00394,Savings,Active,2022-02-08
ACC-000466,CUST-00394,Savings,Active,2021-11-04
ACC-000467,CUST-00395,Savings,Active,2022-12-16
ACC-000468,CUST-00396,Savings,Active,2021-10-31
ACC-000469,CUST-00397,Checking,Active,2021-05-28
ACC-000470,CUST-00398,Checking,Active,2021-01-30
ACC-000471,CUST-00398,Checking,Active,2021-08-19
ACC-000472,CUST-00399,Checking,Active,2022-07-13
ACC-000473,CUST-00399,Savings,Active,2022-08-11
ACC-000474,CUST-00400,Checking,Closed,2021-06-25
ACC-000475,CUST-00401,Savings,Active,2020-08-25
ACC-000476,CUST-00401,Savings,Closed,2021-02-16
ACC-000477,CUST-00402,Checking,Active,2021-03-27
ACC-000478,CUST-00403,Savings,Active,2021-08-02
ACC-000479,CUST-00404,Checking,Active,2020-05-20
ACC-000480,CUST-00405,Checking,Active,2022-12-26
ACC-000481,CUST-00406,Checking,Active,2020-12-23
ACC-000482,CUST-00407,Savings,Active,2020-09-21
ACC-000483,CUST-00408,Checking,Closed,2022-07-02
ACC-000484,CUST-00409,Checking,Active,2022-06-19
ACC-000485,CUST-00410,Checking,Active,2020-10-09
ACC-000486,CUST-00411,Checking,Active,2021-06-02
ACC-000487,CUST-00412,Checking,Active,2020-09-06
ACC-000488,CUST-00413,Checking,Active,2020-11-15
ACC-000489,CUST-00413,Checking,Active,2021-12-11
ACC-000490,CUST-00414,Checking,Active,2022-07-10
ACC-000491,CUST-00415,Savings,Active,2022-01-27
ACC-000492,CUST-00416,Savings,Active,2021-07-10
ACC-000493,CUST-00417,Checking,Closed,2021-01-23
ACC-000494,CUST-00417,Savings,Active,2022-11-15
ACC-000495,CUST-00418,Checking,Active,2021-06-24
ACC-000496,CUST-00418,Checking,Active,2020-05-25
